Strike,Mid,Bid,Ask,ExDt,maturity
3900,51.04999924,0.100000001,102,07/18/25,352
4200,94.69999695,91.09999084,98.30000305,07/18/25,352
4250,102.0999985,98.19999695,106,07/18/25,352
4300,110,105.8000031,114.1999969,07/18/25,352
4350,118.6499939,114.0999908,123.1999969,07/18/25,352
4400,128,123.1000061,132.8999939,07/18/25,352
4450,138.1999969,132.8999939,143.5,07/18/25,352
4500,149.1000061,143.3999939,154.8000031,07/18/25,352
4550,160.9500122,154.8000031,167.1000061,07/18/25,352
4600,173.9499969,167.3999939,180.5,07/18/25,352
4650,187.8000031,180.6000061,195,07/18/25,352
4700,202.8999939,195.1000061,210.6999969,07/18/25,352
4750,219.2000122,210.8000031,227.6000061,07/18/25,352
4800,236.8999939,227.8999939,245.8999939,07/18/25,352
4850,256.1999207,247.3000031,265.0998535,07/18/25,352
4900,276.7998047,267.7998047,285.7998047,07/18/25,352
4950,299,290,308,07/18/25,352
5000,322.8999023,313.8999023,331.8999023,07/18/25,352
5050,348.2998047,339.2998047,357.2998047,07/18/25,352
5100,375.3999023,366.3999023,384.3999023,07/18/25,352
5150,404.1499023,395.1999512,413.0998535,07/18/25,352
5200,434.3999023,425.3999023,443.3999023,07/18/25,352
5250,466.2998047,457.2998047,475.2998047,07/18/25,352
5300,499.5999756,490.6000977,508.5998535,07/18/25,352
5350,534.3999023,525.3999023,543.3999023,07/18/25,352
5400,570.5998535,561.5998535,579.5998535,07/18/25,352
500,0.899999976,0,0.899999976,09/19/25,415
800,1.100000381,0,1.100000381,09/19/25,415
1000,1.399999619,0,1.399999619,09/19/25,415
2300,8.450000763,7.600000381,9.300000191,09/19/25,415
2400,9.75,8.899999619,10.60000038,09/19/25,415
2500,11.25,10.30000019,12.19999981,09/19/25,415
2600,12.89999962,11.89999962,13.89999962,09/19/25,415
2700,14.80000019,13.80000019,15.80000019,09/19/25,415
2800,16.89999962,15.80000019,18,09/19/25,415
2900,19.25,18.1000061,20.3999939,09/19/25,415
3000,21.94998932,20.79998779,23.09999084,09/19/25,415
3100,25,23.80000305,26.19999695,09/19/25,415
3200,28.44999695,27.19999695,29.69999695,09/19/25,415
3300,32.34999847,31,33.69999695,09/19/25,415
3400,36.90000153,35.5,38.30000305,09/19/25,415
3500,42.15000153,40.69999695,43.6000061,09/19/25,415
3600,48.15000153,46.6000061,49.69999695,09/19/25,415
3700,55.20000458,53.6000061,56.80000305,09/19/25,415
3800,63.30000305,61.6000061,65,09/19/25,415
3900,72.75,71,74.5,09/19/25,415
4000,83.59999847,81.8999939,85.30000305,09/19/25,415
4100,96.24999237,94.3999939,98.09999084,09/19/25,415
4200,110.6500015,108.8000031,112.5,09/19/25,415
4300,127.3499985,125.3999939,129.3000031,09/19/25,415
4350,136.7000122,134.6000061,138.8000031,09/19/25,415
4400,146.7000122,144.6000061,148.8000031,09/19/25,415
4500,168.8000031,166.6000061,171,09/19/25,415
4600,194.3000031,192,196.6000061,09/19/25,415
4700,223.75,221.3000031,226.1999969,09/19/25,415
4800,257.7998962,255.3000031,260.2998047,09/19/25,415
4850,276.2999268,267.3000488,285.2998047,09/19/25,415
4900,296.8999023,294.1999512,299.5998535,09/19/25,415
4950,318.4998779,315.6999512,321.2998047,09/19/25,415
5000,341.5999756,338.6999512,344.5,09/19/25,415
5100,392.1999512,389.1999512,395.1999512,09/19/25,415
5200,448.5499268,445.3999023,451.6999512,09/19/25,415
5300,510.4500732,507,513.9001465,09/19/25,415
5400,577.9000244,574.6000977,581.1999512,09/19/25,415
5500,650.2999268,647.0998535,653.5,09/19/25,415
5600,727.2999268,723.7998047,730.8000488,09/19/25,415
5700,808.2498779,804.7998047,811.6999512,09/19/25,415
5800,892.5499268,889.0998535,896,09/19/25,415
5900,979.5499268,976.0998535,983,09/19/25,415
6000,1068.849976,1065.399902,1072.300049,09/19/25,415
6100,1159.75,1156.300049,1163.199951,09/19/25,415
