DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE
BETA0,2024-01-02 00:00:00+01:00,0.9886881789
BETA0,2024-01-03 00:00:00+01:00,1.0201523506
BETA0,2024-01-04 00:00:00+01:00,1.0254126052
BETA0,2024-01-05 00:00:00+01:00,1.0393197115
BETA0,2024-01-08 00:00:00+01:00,1.0288087196
BETA0,2024-01-09 00:00:00+01:00,1.0324441289
BETA0,2024-01-10 00:00:00+01:00,1.0665388223
BETA0,2024-01-11 00:00:00+01:00,1.0600504282
BETA0,2024-01-12 00:00:00+01:00,1.0203770601
BETA0,2024-01-15 00:00:00+01:00,1.0073932961
BETA0,2024-01-16 00:00:00+01:00,1.0055225366
BETA0,2024-01-17 00:00:00+01:00,1.0008743441
BETA0,2024-01-18 00:00:00+01:00,1.0013204019
BETA0,2024-01-19 00:00:00+01:00,1.0006541666
BETA0,2024-01-22 00:00:00+01:00,1.0396462128
BETA0,2024-01-23 00:00:00+01:00,1.0249619855
BETA0,2024-01-24 00:00:00+01:00,1.022804488
BETA0,2024-01-25 00:00:00+01:00,1.0209068969
BETA0,2024-01-26 00:00:00+01:00,1.0430220722
BETA0,2024-01-29 00:00:00+01:00,1.039591261
BETA0,2024-01-30 00:00:00+01:00,1.009679543
BETA0,2024-01-31 00:00:00+01:00,1.0154882836
BETA0,2024-02-01 00:00:00+01:00,1.0254623466
BETA0,2024-02-02 00:00:00+01:00,1.0472129411
BETA0,2024-02-05 00:00:00+01:00,1.0727015767
BETA0,2024-02-06 00:00:00+01:00,1.0487009142
BETA0,2024-02-07 00:00:00+01:00,1.0539723551
BETA0,2024-02-08 00:00:00+01:00,1.0385213633
BETA0,2024-02-09 00:00:00+01:00,1.0071260081
BETA0,2024-02-12 00:00:00+01:00,1.0409430264
BETA0,2024-02-13 00:00:00+01:00,0.9983581068
BETA0,2024-02-14 00:00:00+01:00,0.990926851
BETA0,2024-02-15 00:00:00+01:00,1.0068384822
BETA0,2024-02-16 00:00:00+01:00,0.9949190597
