Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,Open Int,Premium,Time
2900.00,N/A,12.70,12.70,12.70,-0.90,N/A,N/A,N/A,6,127.00,11/04/24
3000.00,N/A,14.70,14.70,14.70,-1.10,N/A,N/A,N/A,844,147.00,11/04/24
3100.00,N/A,17.00,17.00,17.00,-1.30,N/A,N/A,N/A,N/A,170.00,11/04/24
3550.00,N/A,32.80,32.80,32.80,-2.00,N/A,N/A,N/A,N/A,328.00,11/04/24
3600.00,N/A,35.20,35.20,35.20,-2.10,N/A,N/A,N/A,N/A,352.00,11/04/24
3650.00,N/A,37.90,37.90,37.90,-2.20,N/A,N/A,N/A,N/A,379.00,11/04/24
3700.00,N/A,40.70,40.70,40.70,-2.30,N/A,N/A,N/A,N/A,407.00,11/04/24
3750.00,N/A,43.80,43.80,43.80,-2.50,N/A,N/A,N/A,N/A,438.00,11/04/24
3800.00,N/A,47.20,47.20,47.20,-2.50,N/A,N/A,N/A,N/A,472.00,11/04/24
3850.00,N/A,50.90,50.90,50.90,-2.60,N/A,N/A,N/A,N/A,509.00,11/04/24
3900.00,N/A,54.80,54.80,54.80,-2.80,N/A,N/A,N/A,1,548.00,11/04/24
3950.00,N/A,59.20,59.20,59.20,-2.80,N/A,N/A,N/A,N/A,592.00,11/04/24
4000.00,N/A,63.90,63.90,63.90,-2.90,N/A,N/A,N/A,38,639.00,11/04/24
4050.00,N/A,69.00,69.00,69.00,-3.00,N/A,N/A,N/A,N/A,690.00,11/04/24
4100.00,N/A,74.60,74.60,74.60,-3.10,N/A,N/A,N/A,200,746.00,11/04/24
4150.00,N/A,80.60,80.60,80.60,-3.20,N/A,N/A,N/A,N/A,806.00,11/04/24
4200.00,N/A,87.30,87.30,87.30,-3.20,N/A,N/A,N/A,N/A,873.00,11/04/24
4250.00,N/A,94.50,94.50,94.50,-3.30,N/A,N/A,N/A,N/A,945.00,11/04/24
4300.00,N/A,102.30,102.30,102.30,-3.40,N/A,N/A,N/A,1901,1023.00,11/04/24
4350.00,N/A,110.90,110.90,110.90,-3.30,N/A,N/A,N/A,N/A,1109.00,11/05/24
4400.00,N/A,120.20,120.20,120.20,-3.30,N/A,N/A,N/A,239,1202.00,11/04/24
4450.00,N/A,130.40,130.40,130.40,-3.20,N/A,N/A,N/A,N/A,1304.00,11/05/24
4500.00,N/A,141.40,141.40,141.40,-3.20,N/A,N/A,N/A,2000,1414.00,11/04/24
4550.00,N/A,153.50,153.50,153.50,-3.00,N/A,N/A,N/A,N/A,1535.00,11/05/24
4600.00,N/A,166.60,166.60,166.60,-2.80,N/A,N/A,N/A,30,1666.00,11/04/24
4650.00,N/A,180.80,180.80,180.80,-2.60,N/A,N/A,N/A,81,1808.00,11/04/24
4700.00,N/A,196.30,196.30,196.30,-2.30,N/A,N/A,N/A,N/A,1963.00,11/05/24
4750.00,N/A,213.30,213.30,213.30,-2.00,N/A,N/A,N/A,N/A,2133.00,11/05/24
4800.00,N/A,231.80,231.80,231.80,-1.80,N/A,N/A,N/A,N/A,2318.00,11/05/24
4850.00,N/A,252.00,252.00,252.00,-1.50,N/A,N/A,N/A,N/A,2520.00,11/05/24
4900.00,273.80,273.80,273.80,273.80,unch,N/A,N/A,7,3908,2738.00,02:26 ET
4950.00,N/A,297.40,297.40,297.40,-1.10,N/A,N/A,N/A,100,2974.00,11/04/24
5000.00,N/A,322.80,322.80,322.80,-0.70,N/A,N/A,N/A,1,3228.00,11/04/24
5050.00,N/A,350.30,350.30,350.30,unch,N/A,N/A,N/A,N/A,3503.00,11/05/24
5100.00,N/A,380.00,380.00,380.00,0.90,N/A,N/A,N/A,1001,3800.00,11/04/24
5150.00,N/A,411.90,411.90,411.90,2.10,N/A,N/A,N/A,N/A,4119.00,11/05/24
5200.00,N/A,445.70,445.70,445.70,3.40,N/A,N/A,N/A,N/A,4457.00,11/04/24
5250.00,N/A,481.30,481.30,481.30,4.80,N/A,N/A,N/A,N/A,4813.00,11/04/24
5300.00,N/A,518.50,518.50,518.50,6.20,N/A,N/A,N/A,N/A,5185.00,11/04/24
5350.00,N/A,557.40,557.40,557.40,7.70,N/A,N/A,N/A,N/A,5574.00,11/04/24
5400.00,N/A,597.60,597.60,597.60,9.00,N/A,N/A,N/A,N/A,5976.00,11/04/24
5450.00,N/A,639.10,639.10,639.10,10.30,N/A,N/A,N/A,N/A,6391.00,11/04/24
5500.00,N/A,681.70,681.70,681.70,11.40,N/A,N/A,N/A,N/A,6817.00,11/04/24
5550.00,N/A,725.40,725.40,725.40,12.60,N/A,N/A,N/A,N/A,7254.00,11/04/24
5600.00,N/A,769.90,769.90,769.90,13.60,N/A,N/A,N/A,N/A,7699.00,11/04/24
5650.00,N/A,815.20,815.20,815.20,14.50,N/A,N/A,N/A,N/A,8152.00,11/04/24
5700.00,N/A,861.00,861.00,861.00,15.20,N/A,N/A,N/A,N/A,8610.00,11/04/24
5750.00,N/A,907.40,907.40,907.40,15.90,N/A,N/A,N/A,N/A,9074.00,11/04/24
5800.00,N/A,954.30,954.30,954.30,16.60,N/A,N/A,N/A,N/A,9543.00,11/04/24
5850.00,N/A,1001.60,1001.60,1001.60,17.10,N/A,N/A,N/A,N/A,10016.00,11/04/24
5900.00,N/A,1049.20,1049.20,1049.20,17.60,N/A,N/A,N/A,N/A,10492.00,11/04/24
5950.00,N/A,1097.10,1097.10,1097.10,18.10,N/A,N/A,N/A,N/A,10971.00,11/04/24
6000.00,N/A,1145.20,1145.20,1145.20,18.40,N/A,N/A,N/A,N/A,11452.00,11/04/24
6050.00,N/A,1193.50,1193.50,1193.50,18.70,N/A,N/A,N/A,N/A,11935.00,11/04/24
