Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,Open Int,Premium,Time
4400.00,N/A,112.70,112.70,112.70,-7.50,N/A,N/A,N/A,239,1127.00,11:04 CT
4450.00,N/A,122.40,122.40,122.40,-8.00,N/A,N/A,N/A,N/A,1224.00,11:04 CT
4500.00,N/A,133.00,133.00,133.00,-8.40,N/A,N/A,N/A,2000,1330.00,11:04 CT
4550.00,N/A,144.50,144.50,144.50,-9.00,N/A,N/A,N/A,N/A,1445.00,11:04 CT
4600.00,N/A,157.20,157.20,157.20,-9.40,N/A,N/A,N/A,30,1572.00,11:04 CT
4650.00,N/A,170.90,170.90,170.90,-9.90,N/A,N/A,N/A,81,1709.00,11:04 CT
4700.00,N/A,185.90,185.90,185.90,-10.40,N/A,N/A,N/A,N/A,1859.00,11:04 CT
4750.00,N/A,202.50,202.50,202.50,-10.80,N/A,N/A,N/A,N/A,2025.00,11:04 CT
4800.00,N/A,220.80,220.80,220.80,-11.00,N/A,N/A,N/A,N/A,2208.00,11:04 CT
4850.00,N/A,240.90,240.90,240.90,-11.10,N/A,N/A,N/A,N/A,2409.00,11:04 CT
4900.00,273.80,273.80,262.80,273.80,unch,N/A,N/A,7,3908,2738.00,02:26 ET
4950.00,N/A,286.60,286.60,286.60,-10.80,N/A,N/A,N/A,100,2866.00,11:04 CT
5000.00,N/A,312.40,312.40,312.40,-10.40,N/A,N/A,N/A,1,3124.00,11:04 CT
5050.00,N/A,340.20,340.20,340.20,-10.10,N/A,N/A,N/A,N/A,3402.00,11:04 CT
5100.00,N/A,369.90,369.90,369.90,-10.10,N/A,N/A,N/A,1001,3699.00,11:04 CT
5150.00,N/A,401.50,401.50,401.50,-10.40,N/A,N/A,N/A,N/A,4015.00,11:04 CT
5200.00,N/A,434.90,434.90,434.90,-10.80,N/A,N/A,N/A,N/A,4349.00,11:04 CT
5250.00,N/A,470.00,470.00,470.00,-11.30,N/A,N/A,N/A,N/A,4700.00,11:04 CT
5300.00,N/A,506.70,506.70,506.70,-11.80,N/A,N/A,N/A,N/A,5067.00,11:04 CT
5350.00,N/A,544.80,544.80,544.80,-12.60,N/A,N/A,N/A,N/A,5448.00,11:04 CT
